,% Observed
10525,63.8
10526,63.8
10527,63.8
10528,63.8
10529,63.8
10530,63.8
10531,63.7
10532,63.7
10533,63.7
10534,63.7
10535,64.1
10536,64.1
10537,64.0
10538,63.9
10539,63.7
10540,63.8
10541,64.0
10542,64.1
10543,63.2
10544,64.1
10545,64.1
10546,64.0
10547,63.6
10548,63.8
10549,63.8
10550,63.6
10551,63.7
10552,63.8
10553,63.7
10554,63.7
10555,63.5
10556,63.4
10557,63.4
10558,63.4
10559,63.7
10560,63.6
10561,63.5
10562,63.4
10563,63.3
10564,63.4
10565,63.4
10566,63.4
10567,63.5
10568,63.5
10569,63.7
10570,63.6
10571,63.6
10572,63.5
10573,63.5
10574,63.5
10575,63.4
10576,63.4
10577,63.4
10578,63.4
10579,63.2
10580,63.1
10581,63.2
10582,62.6
10583,63.3
10584,63.3
10585,63.2
10586,63.1
10587,63.0
10588,63.0
10589,63.2
10590,63.3
10591,63.3
10592,63.4
10593,63.5
10594,63.4
10595,63.4
10596,63.4
10597,63.4
10598,63.4
10599,63.5
10600,63.5
10601,63.4
10602,63.3
10603,63.3
10604,63.3
10605,63.3
10606,63.3
10607,63.7
10608,63.7
10609,63.6
10610,63.6
10611,63.5
10612,63.3
10613,63.4
10614,63.5
10615,63.6
10616,63.5
10617,63.6
10618,63.7
10619,63.7
10620,63.7
10621,63.7
10622,63.7
10623,63.7
10624,63.7
10625,61.1
10626,56.1
10627,63.6
10628,63.6
10629,63.6
10630,63.5
10631,63.3
10632,63.3
10633,63.2
10634,63.3
10635,63.2
10636,63.1
10637,63.2
10638,63.4
10639,63.6
10640,63.5
10641,63.6
10642,63.6
10643,63.5
10644,63.6
10645,63.6
10646,63.6
10647,63.5
10648,63.5
10649,63.5
10650,63.5
10651,63.4
10652,63.4
10653,63.3
10654,62.6
10655,62.4
10656,62.4
10657,62.4
10658,62.3
10659,62.2
10660,62.6
10661,62.8
10662,62.8
10663,62.6
10664,62.5
10665,62.5
10666,62.6
10667,62.4
10668,62.3
10669,62.3
10670,62.2
10671,62.2
10672,62.1
10673,62.2
10674,62.3
10675,62.0
10676,61.9
10677,61.9
10678,61.4
10679,62.4
10680,62.4
10681,62.3
10682,62.2
10683,62.1
10684,62.1
10685,62.3
10686,62.4
10687,62.6
10688,62.6
10689,62.6
10690,60.1
10691,47.6
10692,47.6
10693,47.6
10694,47.6
10695,47.6
10696,47.6
10697,47.6
10698,47.5
10699,47.4
10700,47.4
10701,47.3
10702,47.3
10703,47.9
10704,47.8
10705,47.8
10706,47.7
10707,47.6
10708,47.6
10709,47.8
10710,47.4
10711,47.9
10712,48.0
10713,48.0
10714,48.1
10715,48.0
10716,48.0
10717,48.0
10718,48.0
10719,47.9
10720,48.0
10721,48.0
10722,47.9
10723,47.9
10724,47.7
10725,47.7
10726,47.7
10727,48.0
10728,48.1
10729,48.0
10730,47.9
10731,47.8
10732,47.7
10733,47.9
10734,47.1
10735,48.2
10736,48.2
10737,45.5
10738,42.9
10739,42.2
10740,48.1
10741,49.4
10742,58.1
10743,63.0
10744,62.9
10745,63.0
10746,63.0
10747,59.5
10748,62.9
10749,62.9
10750,62.7
10751,63.2
10752,62.8
10753,62.9
10754,62.8
10755,62.7
10756,62.9
10757,63.1
10758,63.2
10759,63.3
10760,63.4
10761,63.3
10762,63.3
10763,63.3
10764,63.3
10765,63.3
10766,63.3
10767,63.3
10768,63.3
10769,63.3
10770,63.2
10771,63.1
10772,63.1
10773,63.1
10774,63.1
10775,63.8
10776,63.7
10777,63.6
10778,63.6
10779,63.4
10780,63.5
10781,63.7
10782,63.8
10783,63.9
10784,63.9
10785,62.1
10786,62.4
10787,63.9
10788,63.9
10789,64.0
10790,64.0
10791,63.9
10792,64.0
10793,63.6
10794,53.2
10795,61.5
10796,42.4
10797,56.2
10798,56.2
10799,55.9
10800,55.8
10801,55.7
10802,55.7
10803,55.7
10804,55.8
10805,55.9
10806,59.8
10807,63.6
10808,63.6
10809,63.6
10810,63.6
10811,63.6
10812,63.6
10813,63.6
10814,63.6
10815,63.6
10816,63.5
10817,63.5
10818,63.4
10819,63.3
10820,63.3
10821,63.3
10822,63.3
10823,63.1
10824,63.1
10825,63.0
10826,62.9
10827,62.8
10828,62.8
10829,62.9
10830,63.1
10831,63.2
10832,63.3
10833,63.3
10834,63.3
10835,63.3
10836,63.2
10837,63.1
10838,63.0
10839,62.7
10840,63.3
10841,63.2
10842,63.1
10843,63.0
10844,62.9
10845,62.9
10846,62.9
10847,63.8
10848,63.7
10849,63.6
10850,63.5
10851,63.4
10852,63.4
10853,63.5
10854,63.3
10855,63.3
10856,63.3
10857,61.4
10858,63.7
10859,63.8
10860,63.7
10861,63.8
10862,63.9
10863,63.8
10864,63.8
10865,63.8
10866,63.7
10867,63.5
10868,63.6
10869,63.6
10870,63.6
10871,63.8
10872,63.8
10873,63.8
10874,63.7
10875,63.6
10876,63.6
10877,63.7
10878,63.8
10879,63.9
10880,63.9
10881,63.8
10882,63.8
10883,63.8
10884,63.8
10885,63.8
10886,63.8
10887,63.8
10888,63.8
10889,63.7
10890,63.7
10891,63.7
10892,63.7
10893,63.6
10894,63.5
10895,63.9
10896,63.9
10897,63.9
10898,63.9
10899,63.8
10900,63.8
10901,63.9
10902,64.0
10903,64.1
10904,64.1
10905,64.1
10906,64.1
10907,64.1
10908,64.1
10909,64.1
10910,64.1
10911,63.7
10912,64.1
10913,64.0
10914,64.0
10915,63.9
10916,63.9
10917,63.9
10918,63.9
10919,64.0
10920,64.0
10921,63.9
10922,63.8
10923,61.9
10924,63.2
10925,64.0
10926,64.0
10927,63.9
10928,63.9
10929,64.0
10930,63.3
10931,63.4
10932,63.3
10933,63.3
10934,63.3
10935,63.2
10936,63.2
10937,63.2
10938,63.0
10939,63.0
10940,63.0
10941,63.0
10942,63.0
10943,63.4
10944,63.4
10945,63.4
10946,63.4
10947,63.3
10948,63.3
10949,63.3
10950,63.4
10951,63.5
10952,63.5
10953,63.6
10954,63.6
10955,58.5
10956,63.6
10957,63.5
10958,63.5
10959,62.6
10960,62.0
10961,63.0
10962,62.9
10963,63.3
10964,63.2
10965,63.3
10966,63.2
10967,63.4
10968,63.4
10969,63.4
10970,63.3
10971,63.3
10972,63.3
10973,63.3
10974,63.5
10975,63.6
10976,63.6
10977,63.6
10978,63.5
10979,63.6
10980,63.6
10981,63.6
10982,63.6
10983,63.6
10984,63.6
10985,63.5
10986,63.5
10987,63.5
10988,63.5
10989,63.5
10990,63.4
10991,63.0
10992,63.0
10993,63.0
10994,62.9
10995,62.8
10996,62.8
10997,62.9
10998,63.0
10999,63.1
11000,63.2
11001,63.2
11002,63.1
11003,62.6
11004,62.3
11005,61.1
11006,63.1
11007,63.2
11008,63.2
11009,63.2
11010,63.1
11011,63.1
11012,63.1
11013,63.0
11014,62.9
11015,64.4
11016,64.4
11017,64.5
11018,64.3
11019,64.0
11020,64.2
11021,64.3
11022,64.4
11023,64.3
11024,64.2
11025,64.5
11026,60.6
11027,60.5
11028,64.2
11029,64.1
11030,64.3
11031,64.7
11032,64.7
11033,64.7
11034,64.6
11035,64.5
11036,64.5
11037,64.5
11038,64.4
11039,64.3
11040,64.3
11041,64.1
11042,64.0
11043,63.9
11044,63.9
11045,63.8
11046,63.1
11047,64.3
11048,64.4
11049,64.4
11050,64.5
11051,64.5
11052,63.7
11053,64.4
11054,64.3
11055,63.7
11056,64.2
11057,64.1
11058,64.1
11059,63.5
11060,64.1
11061,57.1
11062,51.1
11063,52.6
11064,52.6
11065,52.6
11066,52.7
11067,58.1
11068,55.4
11069,56.6
11070,64.9
11071,65.0
11072,65.1
11073,65.1
11074,65.0
11075,62.4
11076,65.0
11077,65.0
11078,64.9
11079,65.0
11080,64.2
11081,63.8
11082,64.9
11083,64.8
11084,64.8
11085,56.1
11086,64.8
11087,65.2
11088,65.2
11089,65.1
11090,65.0
11091,63.8
11092,64.9
11093,65.1
11094,65.3
11095,65.3
11096,65.4
11097,65.3
11098,65.2
11099,65.2
11100,65.2
11101,65.4
11102,65.1
11103,65.4
11104,65.3
11105,65.2
11106,65.2
11107,65.1
11108,65.1
11109,65.1
11110,65.0
11111,65.2
11112,65.2
11113,65.2
11114,65.1
11115,65.0
11116,65.0
11117,64.5
11118,65.3
11119,65.4
11120,65.4
11121,65.4
11122,65.5
11123,65.5
11124,65.4
11125,65.4
11126,65.4
11127,65.4
11128,65.4
11129,65.3
11130,65.3
11131,65.3
11132,65.2
11133,65.1
11134,61.5
11135,65.0
11136,65.0
11137,64.9
11138,64.9
11139,64.8
11140,64.8
11141,63.6
11142,65.0
11143,65.1
11144,65.1
11145,65.1
11146,65.2
11147,64.6
11148,65.2
11149,65.1
11150,65.1
11151,65.2
11152,64.5
11153,59.6
11154,62.7
11155,65.0
11156,65.0
11157,64.9
11158,64.8
11159,64.6
11160,64.6
11161,62.6
11162,64.4
11163,64.3
11164,64.4
11165,64.5
11166,64.6
11167,64.6
11168,64.7
11169,64.3
11170,64.4
11171,63.5
11172,63.0
11173,64.8
11174,64.8
11175,64.8
11176,64.8
11177,64.7
11178,64.7
11179,64.6
11180,64.6
11181,64.6
11182,64.5
11183,65.1
11184,57.5
11185,57.4
11186,57.4
11187,57.2
11188,57.2
11189,56.9
11190,56.7
11191,56.4
11192,56.9
11193,59.5
11194,63.2
11195,63.2
11196,62.6
11197,63.1
11198,63.1
11199,63.1
11200,63.1
11201,63.1
11202,62.0
11203,63.0
11204,62.8
11205,62.7
11206,62.3
11207,62.5
11208,62.5
11209,62.9
11210,62.8
11211,62.6
11212,62.7
11213,62.7
11214,62.9
11215,63.0
11216,63.1
11217,61.9
11218,62.9
11219,62.9
11220,62.5
11221,62.3
11222,60.6
11223,61.8
11224,62.0
11225,61.9
11226,61.6
11227,61.6
11228,61.6
11229,61.6
11230,61.5
11231,61.7
11232,61.7
11233,61.6
11234,61.6
11235,61.5
11236,61.5
11237,61.7
11238,61.8
11239,61.9
11240,62.0
11241,62.0
11242,61.9
11243,61.9
11244,62.0
11245,62.0
11246,62.0
11247,62.0
11248,61.9
11249,61.9
11250,61.2
11251,61.8
11252,61.8
11253,61.8
11254,61.7
11255,63.4
11256,63.4
11257,63.4
11258,63.3
11259,63.2
11260,63.3
11261,62.8
11262,63.5
11263,63.6
11264,63.7
11265,63.7
11266,63.7
11267,63.7
11268,63.7
11269,63.7
11270,63.6
11271,63.6
11272,63.7
11273,63.6
11274,63.6
11275,63.6
11276,63.6
11277,63.6
11278,63.5
11279,64.5
11280,61.3
11281,64.5
11282,63.8
11283,64.4
11284,64.3
11285,64.5
11286,64.6
11287,64.7
11288,64.7
11289,64.7
11290,64.1
11291,64.7
11292,64.7
11293,64.7
11294,64.6
11295,64.7
11296,64.7
11297,64.0
11298,64.5
11299,64.5
11300,64.4
11301,64.4
11302,64.5
11303,63.9
11304,63.8
11305,62.6
11306,63.8
11307,63.7
11308,63.7
11309,63.7
11310,63.9
11311,64.1
11312,64.1
11313,63.5
11314,62.2
11315,64.1
11316,64.1
11317,63.4
11318,61.5
11319,54.2
11320,54.2
11321,54.2
11322,54.1
11323,54.0
11324,54.0
11325,54.0
11326,54.0
11327,52.7
11328,46.4
11329,46.5
11330,46.4
11331,46.3
11332,46.3
11333,46.4
11334,52.1
11335,58.6
11336,62.0
11337,63.9
11338,63.9
11339,63.8
11340,63.8
11341,60.4
11342,62.5
11343,63.9
11344,63.7
11345,63.7
11346,63.4
11347,63.3
11348,63.5
11349,63.5
11350,63.5
11351,64.5
11352,64.4
11353,64.4
11354,64.3
11355,64.3
11356,64.2
11357,64.3
11358,64.3
11359,64.5
11360,64.6
11361,64.4
11362,64.5
11363,64.6
11364,64.6
11365,64.7
11366,64.7
11367,64.7
11368,64.7
11369,64.7
11370,64.6
11371,64.5
11372,64.5
11373,64.5
11374,64.4
11375,64.7
11376,64.7
11377,64.7
11378,64.7
11379,64.6
11380,64.4
11381,64.4
11382,63.7
11383,64.4
11384,64.3
11385,64.3
11386,64.3
11387,64.5
11388,64.5
11389,64.5
11390,64.5
11391,64.6
11392,64.7
11393,64.7
11394,64.7
11395,64.6
11396,64.6
11397,64.0
11398,64.5
11399,64.8
11400,64.7
11401,64.6
11402,64.5
11403,64.5
11404,64.6
11405,64.7
11406,64.8
11407,64.9
11408,64.8
11409,64.8
11410,54.2
11411,49.8
11412,49.8
11413,50.0
11414,50.1
11415,50.1
11416,50.0
11417,50.1
11418,50.0
11419,50.0
11420,49.8
11421,49.8
11422,49.8
11423,48.8
11424,50.1
11425,50.0
11426,49.9
11427,49.9
11428,61.0
11429,63.6
11430,65.0
11431,65.2
11432,65.2
11433,65.3
11434,62.8
11435,65.2
11436,65.2
11437,65.2
11438,65.1
11439,65.1
11440,65.1
11441,65.1
11442,65.0
11443,65.0
11444,65.0
11445,65.0
11446,61.3
11447,57.3
11448,55.2
11449,57.0
11450,57.0
11451,56.9
11452,56.9
11453,57.0
11454,57.1
11455,57.2
11456,57.2
11457,57.3
11458,57.3
11459,57.3
11460,57.2
11461,56.5
11462,57.3
11463,57.2
11464,57.3
11465,57.3
11466,57.2
11467,57.1
11468,57.0
11469,57.0
11470,53.9
11471,49.4
11472,54.8
11473,56.6
11474,56.7
11475,56.6
11476,56.5
11477,56.4
11478,56.6
11479,56.7
11480,56.7
11481,56.7
11482,56.7
11483,56.6
11484,55.9
11485,56.7
11486,56.7
11487,56.7
11488,56.7
11489,56.6
11490,56.6
11491,56.5
11492,56.4
11493,56.4
11494,56.4
11495,56.0
11496,56.0
11497,55.9
11498,55.8
11499,55.7
11500,55.8
11501,55.9
11502,56.0
11503,56.2
11504,56.2
11505,56.3
11506,54.5
11507,56.3
11508,55.8
11509,55.3
11510,54.5
11511,55.2
11512,55.3
11513,54.3
11514,55.2
11515,55.1
11516,55.2
11517,54.6
11518,54.3
11519,63.0
11520,59.2
11521,62.9
11522,62.9
11523,61.5
11524,61.9
11525,62.9
11526,63.1
11527,61.7
11528,61.2
11529,61.8
11530,62.6
11531,63.1
11532,63.0
11533,63.1
11534,60.9
11535,62.9
11536,62.8
11537,62.8
11538,62.7
11539,62.8
11540,62.8
11541,62.6
11542,62.6
11543,61.2
11544,62.0
11545,62.1
11546,62.1
11547,62.1
11548,62.1
11549,62.2
11550,61.7
11551,62.1
11552,61.7
11553,60.2
11554,62.3
11555,62.3
11556,62.3
11557,62.2
11558,60.1
11559,61.6
11560,62.2
11561,58.8
11562,61.5
11563,62.2
11564,57.7
11565,62.1
11566,62.1
11567,63.9
11568,63.8
11569,63.9
11570,63.2
11571,63.8
11572,63.8
11573,62.5
11574,64.0
11575,64.1
11576,64.0
11577,63.9
11578,63.7
11579,63.8
11580,63.7
11581,63.8
11582,62.4
11583,63.7
11584,63.7
11585,63.6
11586,63.6
11587,63.6
11588,63.6
11589,63.5
11590,62.8
11591,63.7
11592,56.0
11593,55.9
11594,55.9
11595,55.8
11596,55.8
11597,57.7
11598,63.7
11599,63.9
11600,63.9
11601,62.4
11602,61.0
11603,60.7
11604,60.8
11605,61.0
11606,61.0
11607,61.0
11608,61.0
11609,61.0
11610,60.9
11611,60.8
11612,60.8
11613,60.8
11614,60.7
11615,60.8
11616,60.8
11617,60.7
11618,60.7
11619,59.7
11620,60.6
11621,60.7
11622,60.8
11623,60.8
11624,60.9
11625,60.9
11626,60.9
11627,60.9
11628,60.9
11629,60.9
11630,60.9
11631,60.9
11632,60.9
11633,61.4
11634,60.9
11635,60.8
11636,60.8
11637,60.8
11638,60.4
11639,59.2
11640,59.1
11641,59.1
11642,59.2
11643,59.2
11644,59.0
11645,59.1
11646,59.2
11647,59.3
11648,60.7
11649,60.7
11650,60.7
11651,59.4
11652,60.7
11653,60.7
11654,60.6
11655,60.7
11656,60.6
11657,60.6
11658,60.6
11659,60.5
11660,60.5
11661,60.6
11662,60.5
11663,60.3
11664,60.3
11665,60.2
11666,59.5
11667,60.1
11668,60.2
11669,58.9
11670,60.3
11671,60.4
11672,62.0
11673,60.0
11674,63.0
11675,62.2
11676,62.9
11677,62.9
11678,62.9
11679,62.9
11680,62.9
11681,62.9
11682,63.1
11683,62.3
11684,62.9
11685,62.9
11686,62.9
11687,63.0
11688,63.0
11689,63.0
11690,62.9
11691,62.8
11692,62.8
11693,62.9
11694,63.0
11695,63.0
11696,63.2
11697,63.2
11698,63.0
11699,62.8
11700,62.8
11701,62.8
11702,62.2
11703,62.8
11704,62.8
11705,62.8
11706,62.7
11707,62.6
11708,62.6
11709,62.6
11710,62.6
11711,63.3
11712,55.5
11713,55.4
11714,55.4
11715,55.3
11716,55.1
11717,56.5
11718,63.1
11719,63.1
11720,63.2
11721,62.0
11722,59.1
11723,60.5
11724,60.6
11725,59.9
11726,60.5
11727,60.5
11728,60.5
11729,60.6
11730,60.5
11731,60.3
11732,60.3
11733,60.3
11734,59.5
11735,60.7
11736,60.7
11737,60.7
11738,60.7
11739,60.5
11740,60.6
11741,60.6
11742,60.8
11743,60.9
11744,61.0
11745,54.4
11746,53.1
11747,53.1
11748,51.2
11749,47.0
11750,53.1
11751,52.4
11752,53.1
11753,53.0
11754,52.9
11755,52.9
11756,53.1
11757,52.8
11758,52.8
11759,55.3
11760,55.3
11761,55.3
11762,55.2
11763,55.2
11764,55.2
11765,55.2
11766,55.4
11767,55.5
11768,55.6
11769,55.6
11770,55.6
11771,55.6
11772,55.5
11773,55.5
11774,55.2
11775,55.4
11776,55.4
11777,55.4
11778,55.4
11779,55.4
11780,55.4
11781,55.4
11782,55.4
11783,63.7
11784,63.7
11785,63.7
11786,63.6
11787,63.5
11788,62.8
11789,63.5
11790,55.8
11791,55.8
11792,58.0
11793,55.6
11794,52.1
11795,51.0
11796,51.0
11797,55.5
11798,63.7
11799,63.7
11800,63.6
11801,63.5
11802,63.4
11803,63.3
11804,63.4
11805,63.3
11806,63.3
11807,63.1
11808,63.1
11809,63.1
11810,63.1
11811,63.0
11812,62.9
11813,63.0
11814,63.2
11815,63.3
11816,63.3
11817,59.5
11818,49.5
11819,60.4
11820,62.9
11821,63.1
11822,55.4
11823,55.0
11824,59.9
11825,62.6
11826,63.2
11827,63.2
11828,63.2
11829,63.2
11830,63.0
11831,62.6
11832,62.7
11833,60.7
11834,62.6
11835,62.5
11836,62.4
11837,62.5
11838,62.7
11839,62.8
11840,62.8
11841,62.9
11842,62.8
11843,62.9
11844,62.6
11845,62.5
11846,62.6
11847,62.6
11848,62.8
11849,62.8
11850,62.7
11851,62.0
11852,62.6
11853,62.6
11854,62.6
11855,63.2
11856,63.4
11857,63.2
11858,63.1
11859,62.7
11860,63.0
11861,63.1
11862,63.3
11863,63.3
11864,63.2
11865,61.0
11866,62.4
11867,63.3
11868,63.3
11869,63.1
11870,62.8
11871,61.6
11872,61.1
11873,61.0
11874,60.9
11875,60.8
11876,54.7
11877,48.5
11878,53.7
11879,61.0
11880,61.0
11881,61.0
11882,61.0
11883,60.9
11884,61.1
11885,61.1
11886,62.9
11887,63.0
11888,63.1
11889,62.5
11890,63.2
11891,63.2
11892,63.2
11893,63.2
11894,63.2
11895,63.1
11896,63.2
11897,63.1
11898,63.0
11899,63.0
11900,62.9
11901,62.9
11902,62.8
11903,63.1
11904,61.3
11905,63.2
11906,63.2
11907,63.0
11908,63.1
11909,63.2
11910,63.4
11911,62.8
11912,63.6
11913,63.6
11914,60.9
11915,63.6
11916,62.8
11917,63.5
11918,63.5
11919,63.5
11920,63.5
11921,63.5
11922,62.8
11923,63.3
11924,63.3
11925,63.3
11926,63.3
11927,63.7
11928,63.7
11929,63.6
11930,63.5
11931,63.4
11932,62.1
11933,63.5
11934,63.6
11935,63.8
11936,63.8
11937,63.9
11938,63.9
11939,63.8
11940,63.8
11941,63.8
11942,63.8
11943,61.9
11944,63.2
11945,63.8
11946,63.1
11947,63.0
11948,63.7
11949,63.7
11950,63.7
11951,63.8
11952,63.8
11953,63.8
11954,63.8
11955,63.7
11956,56.1
11957,50.9
11958,53.8
11959,63.8
11960,61.5
11961,63.6
11962,63.9
11963,63.9
11964,63.9
11965,63.8
11966,59.2
11967,7.9
11968,7.9
11969,7.9
11970,45.2
11971,63.7
11972,63.7
11973,63.7
11974,63.6
11975,62.4
11976,63.0
11977,63.0
11978,62.9
11979,62.9
11980,62.9
11981,62.9
11982,63.0
11983,63.0
11984,63.0
11985,63.0
11986,63.0
11987,63.0
11988,63.0
11989,62.4
11990,61.6
11991,62.9
11992,62.9
11993,62.9
11994,62.9
11995,62.9
11996,61.0
11997,62.9
11998,62.8
11999,63.1
12000,63.2
12001,63.2
12002,63.1
12003,63.0
12004,63.0
12005,63.1
12006,63.3
12007,63.4
12008,63.5
12009,63.5
12010,63.4
12011,63.4
12012,63.4
12013,63.4
12014,63.3
12015,63.3
12016,63.4
12017,63.3
12018,61.9
12019,63.2
12020,63.2
12021,63.1
12022,63.0
12023,62.2
12024,63.6
12025,63.5
12026,63.5
12027,63.4
12028,63.4
12029,63.4
12030,63.6
12031,63.7
12032,63.8
12033,63.9
12034,63.8
12035,63.8
12036,63.8
12037,63.8
12038,63.8
12039,63.7
12040,63.1
12041,63.8
12042,63.7
12043,63.6
12044,63.6
12045,63.5
12046,63.5
12047,63.8
12048,63.7
12049,63.8
12050,63.1
12051,60.9
12052,63.6
12053,63.7
12054,63.9
12055,64.1
12056,64.1
12057,64.1
12058,64.0
12059,64.0
12060,64.0
12061,64.0
12062,64.0
12063,63.9
12064,63.9
12065,63.9
12066,63.8
12067,62.4
12068,63.8
12069,63.8
12070,63.7
12071,64.0
12072,64.0
12073,64.0
12074,63.9
12075,63.9
12076,63.9
12077,63.9
12078,64.1
12079,63.6
12080,64.3
12081,64.4
12082,64.3
12083,64.3
12084,64.2
12085,64.1
12086,64.1
12087,64.1
12088,64.1
12089,64.1
12090,63.4
12091,63.3
12092,64.0
12093,64.0
12094,63.9
12095,63.7
12096,63.6
12097,63.6
12098,63.5
12099,63.4
12100,63.4
12101,63.4
12102,63.6
12103,63.7
12104,63.8
12105,63.9
12106,64.0
12107,64.0
12108,63.9
12109,63.9
12110,63.9
12111,61.8
12112,63.9
12113,63.9
12114,61.4
12115,50.4
12116,61.9
12117,63.8
12118,63.7
12119,63.6
12120,63.6
12121,63.6
12122,63.6
12123,63.5
12124,63.6
12125,63.7
12126,63.9
12127,64.0
12128,64.0
12129,64.1
12130,64.0
12131,64.0
12132,64.0
12133,63.9
12134,63.9
12135,64.0
12136,64.0
12137,63.9
12138,63.9
12139,63.8
12140,63.8
12141,63.7
12142,63.7
12143,63.7
12144,63.1
12145,63.7
12146,63.7
12147,63.6
12148,63.6
12149,62.9
12150,61.4
12151,61.2
12152,61.6
12153,61.3
12154,61.2
12155,61.5
12156,60.2
12157,61.5
12158,61.2
12159,61.2
12160,61.5
12161,61.1
12162,61.4
12163,61.1
12164,61.5
12165,60.3
12166,61.0
12167,61.0
12168,60.6
12169,60.9
12170,60.5
12171,60.8
12172,60.5
12173,60.5
12174,61.0
12175,60.7
12176,61.1
12177,60.8
12178,60.8
12179,61.1
12180,60.7
12181,61.1
12182,60.7
12183,61.1
12184,60.8
12185,60.8
12186,61.1
12187,60.0
12188,61.0
12189,60.5
12190,60.8
12191,60.9
12192,60.9
12193,61.2
12194,60.8
12195,61.0
12196,60.1
12197,60.9
12198,60.6
12199,59.7
12200,59.1
12201,59.1
12202,59.7
12203,59.7
12204,58.3
12205,59.7
12206,59.7
12207,59.7
12208,59.7
12209,59.7
12210,59.6
12211,59.6
12212,59.6
12213,59.6
12214,59.5
12215,60.1
12216,60.1
12217,60.1
12218,60.0
12219,60.0
12220,59.9
12221,60.0
12222,59.5
12223,58.9
12224,60.3
12225,60.3
12226,60.3
12227,60.2
12228,60.1
12229,60.2
12230,58.8
12231,60.2
12232,60.2
12233,60.2
12234,60.1
12235,60.1
12236,60.2
12237,60.1
12238,60.1
12239,60.2
12240,60.2
12241,60.1
12242,60.0
12243,60.0
12244,60.0
12245,59.9
12246,60.1
12247,59.6
12248,59.5
12249,59.6
12250,54.4
12251,59.6
12252,59.5
12253,60.5
12254,62.4
12255,61.0
12256,61.0
12257,61.3
12258,61.0
12259,61.3
12260,61.0
12261,60.9
12262,61.1
12263,61.1
12264,61.4
12265,60.9
12266,61.0
12267,61.2
12268,60.9
12269,61.2
12270,61.1
12271,61.2
12272,62.2
12273,63.5
12274,63.3
12275,63.1
12276,63.0
12277,63.0
12278,63.0
12279,63.0
12280,63.1
12281,62.8
12282,61.5
12283,62.8
12284,62.9
12285,62.9
12286,62.9
12287,63.0
12288,62.9
12289,62.9
12290,62.9
12291,60.9
12292,60.7
12293,61.5
12294,62.0
12295,61.2
12296,60.9
12297,61.3
12298,61.3
12299,61.2
12300,61.2
12301,61.1
12302,61.0
12303,61.0
12304,61.3
12305,60.6
12306,60.7
12307,59.9
12308,60.0
12309,60.1
12310,60.0
12311,60.3
12312,60.1
12313,60.0
12314,59.9
12315,59.5
12316,60.0
12317,59.4
12318,59.7
12319,60.5
12320,60.5
12321,59.9
12322,60.3
12323,52.3
12324,59.2
12325,60.6
12326,59.9
12327,60.6
12328,60.6
12329,60.6
12330,60.6
12331,60.4
12332,59.7
12333,60.4
12334,60.3
12335,60.2
12336,60.2
12337,60.2
12338,60.1
12339,59.3
12340,60.1
12341,60.2
12342,60.3
12343,60.4
12344,60.4
12345,60.4
12346,60.1
12347,60.2
12348,60.1
12349,60.2
12350,60.1
12351,59.6
12352,59.9
12353,60.2
12354,60.2
12355,60.1
12356,60.0
12357,60.0
12358,59.9
12359,60.2
12360,60.0
12361,60.0
12362,60.1
12363,60.1
12364,60.2
12365,60.2
12366,60.4
12367,60.5
12368,60.5
12369,60.5
12370,60.4
12371,60.4
12372,53.3
12373,60.4
12374,60.4
12375,60.5
12376,60.4
12377,60.4
12378,60.3
12379,60.3
12380,60.4
12381,60.3
12382,60.2
12383,62.4
12384,61.6
12385,62.2
12386,62.0
12387,62.0
12388,62.0
12389,62.0
12390,62.1
12391,62.1
12392,60.8
12393,62.2
12394,62.2
12395,62.0
12396,61.9
12397,62.1
12398,62.1
12399,62.1
12400,62.0
12401,62.0
12402,61.3
12403,62.1
12404,62.1
12405,62.1
12406,62.1
12407,62.8
12408,62.8
12409,62.5
12410,62.5
12411,62.5
12412,62.6
12413,62.6
12414,62.8
12415,62.9
12416,62.8
12417,63.0
12418,63.0
12419,62.9
12420,62.9
12421,62.9
12422,62.9
12423,62.9
12424,62.9
12425,62.8
12426,62.7
12427,62.7
12428,62.6
12429,62.6
12430,62.5
12431,62.9
12432,62.9
12433,62.8
12434,62.8
12435,62.7
12436,62.7
12437,62.7
12438,63.0
12439,63.2
12440,62.6
12441,63.4
12442,63.3
12443,62.6
12444,63.3
12445,61.1
12446,63.2
12447,63.2
12448,63.2
12449,63.2
12450,63.0
12451,63.0
12452,63.0
12453,63.0
12454,63.0
12455,63.4
12456,63.3
12457,63.3
12458,63.3
12459,63.2
12460,63.2
12461,63.2
12462,63.3
12463,63.4
12464,63.4
12465,63.5
12466,63.5
12467,63.5
12468,63.4
12469,63.4
12470,63.4
12471,63.4
12472,63.3
12473,63.3
12474,63.1
12475,63.1
12476,63.1
12477,63.1
12478,63.1
12479,63.3
12480,63.2
12481,63.2
12482,63.2
12483,63.1
12484,63.0
12485,63.1
12486,63.3
12487,63.4
12488,63.4
12489,63.4
12490,63.5
12491,63.5
12492,63.4
12493,56.3
12494,63.4
12495,63.4
12496,63.4
12497,63.4
12498,63.3
12499,63.2
12500,63.2
12501,63.2
12502,63.2
12503,62.8
12504,62.8
12505,62.7
12506,62.7
12507,62.6
12508,62.6
12509,62.6
12510,62.5
12511,62.6
12512,61.3
12513,62.8
12514,60.6
12515,62.8
12516,62.8
12517,62.9
12518,62.9
12519,62.2
12520,59.6
12521,62.9
12522,62.9
12523,62.7
